codigo,nombre,descripcion,lista_de_valor_codigo,vigencia
10494,WARNER SWASEY,WARNER SWASEY,04,S
10495,MUIR HILL,MUIR HILL,04,S
10496,BOBCAT,BOBCAT,04,S
10497,KOBELCO,KOBELCO,04,S
10498,DARLEY CHAMPION,DARLEY CHAMPION,04,S
10499,OTTAWA,OTTAWA,04,S
10500,PRENTICE,PRENTICE,04,S
10501,WAFUJI,WAFUJI,04,S
10502,TORROT,TORROT,04,S
10503,SIZU,SIZU,04,S
10504,INTER LEADER,INTER LEADER,04,S
10505,UTILITY,UTILITY,04,S
10506,GOGGO,GOGGO,04,S
10507,DITCH WICH,DITCH WICH,04,S
10508,TYPHOON,TYPHOON,04,S
10509,HY MAC,HY MAC,04,S
10510,RANDON,RANDON,04,S
10511,BUGATTI,BUGATTI,04,S
10512,AIRMAN,AIRMAN,04,S
10513,KRAMER DEUTZ,KRAMER DEUTZ,04,S
10514,DRESSER,DRESSER,04,S
10515,GEMCO,GEMCO,04,S
10516,VIBROWEERKE,VIBROWEERKE,04,S
10517,PAYLOODER,PAYLOODER,04,S
10518,BELL,BELL,04,S
10519,CITAN,CITAN,04,S
10520,FENG SHOU,FENG SHOU,04,S
10521,FURUKAWA,FURUKAWA,04,S
10522,GLORIA,GLORIA,04,S
10523,IME,IME,04,S
10524,CAIO,CAIO,04,S
10525,SCHEID,SCHEID,04,S
10526,KIMBO HOUK,KIMBO HOUK,04,S
10527,HAICA VTA,HAICA VTA,04,S
10529,MOPES MIELE,MOPES MIELE,04,S
10530,ROTAX,ROTAX,04,S
10531,TELEVEL,TELEVEL,04,S
10532,CLAAS,CLAAS,04,S
10533,DEMAG,DEMAG,04,S
10534,TIGER,TIGER,04,S
10535,STERLING,STERLING,04,S
10536,DENNIS,DENNIS,04,S
10537,VOLGO GRADO,VOLGO GRADO,04,S
10538,DART,DART,04,S
10539,GROSS,GROSS,04,S
10540,GRADALL,GRADALL,04,S
10541,HESSTON,HESSTON,04,S
10542,WILARD,WILARD,04,S
10543,MATBRO,MATBRO,04,S
10544,NEAL HYMAX,NEAL HYMAX,04,S
10545,SILENT HOIST,SILENT HOIST,04,S
10546,JOHN ALLEN,JOHN ALLEN,04,S
10547,MANLIFT,MANLIFT,04,S
10548,ASTANSA,ASTANSA,04,S
10549,TWN,TWN,04,S
10550,ABTKPAHOB,ABTKPAHOB,04,S
10551,HUSTLER,HUSTLER,04,S
10552,BIEBER,BIEBER,04,S
10553,MARMON,MARMON,04,S
10554,SLM,SLM,04,S
10555,MURRAY,MURRAY,04,S
10556,EUCLID,EUCLID,04,S
10557,PAPERINO,PAPERINO,04,S
10558,WILLER,WILLER,04,S
10559,TATRA,TATRA,04,S
10560,KUROGANE,KUROGANE,04,S
10561,FMC,FMC,04,S
10562,JKW VEMAG,JKW VEMAG,04,S
10563,THIOKOL,THIOKOL,04,S
10564,KAEBLE,KAEBLE,04,S
10565,ISO RIVOLTA,ISO RIVOLTA,04,S
10566,CHANCE,CHANCE,04,S
10567,SWAN,SWAN,04,S
10568,RESELCO,RESELCO,04,S
10569,GILSON,GILSON,04,S
10570,RUMALIO,RUMALIO,04,S
10571,IHI SHIBAURA,IHI SHIBAURA,04,S
10572,EIMCO,EIMCO,04,S
10573,SPRIDITIS,SPRIDITIS,04,S
10574,FULLDAMOVIL,FULLDAMOVIL,04,S
10575,FANTIC,FANTIC,04,S
10576,JASTREB,JASTREB,04,S
10577,WU HAN,WU HAN,04,S
10578,XINGFU,XINGFU,04,S
10579,MACMOTER,MACMOTER,04,S
10580,MARQUETTE,MARQUETTE,04,S
10581,MILANO-ISO,MILANO-ISO,04,S
10582,AEOLUS,AEOLUS,04,S
10583,ARAUS,ARAUS,04,S
10584,STEINBOCK,STEINBOCK,04,S
10585,ETNYRE,ETNYRE,04,S
10586,INVEL,INVEL,04,S
10587,MOBYLETTE,MOBYLETTE,04,S
10588,PAGLIANTI,PAGLIANTI,04,S
10589,BALKANCAR,BALKANCAR,04,S
10590,FORX LIFT,FORX LIFT,04,S
10591,GILLET,GILLET,04,S
10592,IRION,IRION,04,S
10594,BAUSCHER,BAUSCHER,04,S
10595,KROMG,KROMG,04,S
10596,THOMAS,THOMAS,04,S
10597,CEZETA,CEZETA,04,S
10598,AGRIA,AGRIA,04,S
10599,JIALING,JIALING,04,S
10600,KRANE KAR,KRANE KAR,04,S
10601,HATRA,HATRA,04,S
10602,ADVANCE,ADVANCE,04,S
10603,TAYLOR,TAYLOR,04,S
10604,DANUVIA,DANUVIA,04,S
10605,BETOMAC,BETOMAC,04,S
10606,THWAIT,THWAIT,04,S
10607,CDEC,CDEC,04,S
10608,IMT DEXTA,IMT DEXTA,04,S
10609,ZENITH,ZENITH,04,S
10610,SHANGRAO,SHANGRAO,04,S
10611,ROYAL NORD,ROYAL NORD,04,S
10612,FAUNWILHAG,FAUNWILHAG,04,S
10613,LITOSTROJ,LITOSTROJ,04,S
10614,FRANKLIN,FRANKLIN,04,S
10615,CAIEC,CAIEC,04,S
10616,ZEPAR,ZEPAR,04,S
